Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Aguascalientes,Aguascalientes,Fuentes fijas,546.316,94.308,209.404,2219.396,246.873,182.143,2.929,Aguascalientes
Aguascalientes,Aguascalientes,Fuentes de área,15.877,2396.298,333.306,12438.827,1567.037,483.104,13661.221,Aguascalientes
Aguascalientes,Aguascalientes,Fuentes móviles carreteros,308.001,48527.124,10486.58,5148.961,721.389,659.929,83.887,Aguascalientes
Aguascalientes,Aguascalientes,Fuentes móviles que no circulan por carretera,36.981,548.796,1042.305,96.899,66.318,63.94,0.226,Aguascalientes
Aguascalientes,Aguascalientes,Fuentes naturales,,,440.268,1663.833,,,,Aguascalientes
Aguascalientes,Asientos,Fuentes fijas,0.195,0.683,1.303,0.032,451.809,333.904,0.045,Aguascalientes
Aguascalientes,Asientos,Fuentes de área,1.955,416.591,25.613,432.557,341.206,106.956,5180.011,Aguascalientes
Aguascalientes,Asientos,Fuentes móviles carreteros,6.277,1134.04,200.091,114.687,9.393,8.556,1.973,Aguascalientes
Aguascalientes,Asientos,Fuentes móviles que no circulan por carretera,1.692,17.098,102.67,5.036,3.672,3.432,0.008999999999999998,Aguascalientes
Aguascalientes,Asientos,Fuentes naturales,,,501.888,1741.774,,,,Aguascalientes
Aguascalientes,Calvillo,Fuentes de área,2.401,397.285,26.655,688.471,250.694,81.51399999999998,377.804,Aguascalientes
Aguascalientes,Calvillo,Fuentes móviles carreteros,12.269,1983.315,427.232,207.285,28.365,25.936,3.065,Aguascalientes
Aguascalientes,Calvillo,Fuentes móviles que no circulan por carretera,1.24,14.899,35.386,3.217,2.629,2.55,0.011,Aguascalientes
Aguascalientes,Calvillo,Fuentes naturales,,,227.187,2601.048,,,,Aguascalientes
Aguascalientes,Cosío,Fuentes de área,0.994,190.455,10.893,158.191,87.78,37.107,2242.952,Aguascalientes
Aguascalientes,Cosío,Fuentes móviles carreteros,2.275,438.08,73.944,44.565,3.5,3.187,0.763,Aguascalientes
Aguascalientes,Cosío,Fuentes móviles que no circulan por carretera,1.082,12.52,66.407,3.457,2.565,2.403,0.006,Aguascalientes
Aguascalientes,Cosío,Fuentes naturales,,,399.692,1323.504,,,,Aguascalientes
Aguascalientes,Jesús María,Fuentes fijas,23.235,27.727,39.878,83.952,136.274,95.737,1.03,Aguascalientes
Aguascalientes,Jesús María,Fuentes de área,3.888,656.177,65.33,1985.754,278.602,126.777,1562.435,Aguascalientes
Aguascalientes,Jesús María,Fuentes móviles carreteros,28.71,4572.436,1010.829,485.35,69.853,63.904,7.574,Aguascalientes
Aguascalientes,Jesús María,Fuentes móviles que no circulan por carretera,4.422,59.492,126.023,12.356,10.215,9.909,0.039,Aguascalientes
Aguascalientes,Jesús María,Fuentes naturales,,,173.347,992.258,,,,Aguascalientes
Aguascalientes,Pabellón de Arteaga,Fuentes fijas,43.906,0.959,4.849,0.053,5.977,3.754,0.08,Aguascalientes
Aguascalientes,Pabellón de Arteaga,Fuentes de área,2.727,488.403,31.435,572.962,136.739,82.527,7719.973,Aguascalientes
Aguascalientes,Pabellón de Arteaga,Fuentes móviles carreteros,9.424,1511.082,316.423,159.649,19.447,17.773,2.539,Aguascalientes
Aguascalientes,Pabellón de Arteaga,Fuentes móviles que no circulan por carretera,0.8429999999999999,9.22,44.728,2.477,1.862,1.756,0.005,Aguascalientes
Aguascalientes,Pabellón de Arteaga,Fuentes naturales,,,527.674,2475.147,,,,Aguascalientes
Aguascalientes,Rincón de Romos,Fuentes fijas,0.115,1.568,9.003999999999998,0.903,9.277,2.614,0.008,Aguascalientes
Aguascalientes,Rincón de Romos,Fuentes de área,3.62,720.132,43.662,671.481,241.16,134.31,3484.67,Aguascalientes
Aguascalientes,Rincón de Romos,Fuentes móviles carreteros,12.834,2278.181,389.229,225.152,23.02,21.014,4.263,Aguascalientes
Aguascalientes,Rincón de Romos,Fuentes móviles que no circulan por carretera,2.356,29.153,95.52,6.801,5.373,5.144,0.018,Aguascalientes
Aguascalientes,Rincón de Romos,Fuentes naturales,,,405.774,1413.354,,,,Aguascalientes
Aguascalientes,San José de Gracia,Fuentes de área,0.163,40.609,3.191,109.678,104.576,20.007,255.709,Aguascalientes
